date,time,stage,group,home_team,away_team,home_goals,away_goals
2026-06-11,18:00,Group stage,A,Mexico,South Africa,2,0
2026-06-12,18:00,Group stage,B,Canada,Bosnia & Herzegovina,1,1
2026-06-12,21:00,Group stage,A,South Korea,Czech Republic,2,1
2026-06-13,,Group stage,B,Qatar,Switzerland,1,1
2026-06-13,,Group stage,D,United States,Paraguay,4,1
2026-06-14,,Group stage,E,Germany,Curacao,7,1
2026-06-14,,Group stage,D,Australia,Turkey,2,0
2026-06-14,,Group stage,C,Brazil,Morocco,1,1
2026-06-14,,Group stage,C,Haiti,Scotland,0,1
2026-06-14,,Group stage,F,Netherlands,Japan,2,2
2026-06-15,,Group stage,G,Belgium,Egypt,,
2026-06-15,,Group stage,E,Ivory Coast,Ecuador,1,0
2026-06-15,,Group stage,H,Spain,Cape Verde,,
2026-06-15,,Group stage,F,Sweden,Tunisia,5,1
2026-06-16,,Group stage,I,France,Senegal,3,1
2026-06-16,,Group stage,G,Iran,New Zealand,2,2
2026-06-16,,Group stage,H,Saudi Arabia,Uruguay,1,1
2026-06-17,,Group stage,I,Iraq,Norway,1,4
2026-06-17,,Group stage,J,Argentina,Algeria,3,0
2026-06-17,,Group stage,J,Austria,Jordan,3,1
2026-06-17,,Group stage,K,Portugal,Congo,,
2026-06-17,,Group stage,L,England,Croatia,,

